M,S,K,phi1,phi2,Ec,Pr,eta,f3,f5
1.0,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,2.334,-0.6326775284371926,-0.3940338731843144
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,1.668,-0.9839375497252802,-0.4449018473406164
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,2.667,-0.2961888638104533,-0.1066602700283029
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,150.0,0.333,-0.566628403826901,-1.2204913139546518
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,1.668,-0.3481335253933182,-0.1328468058330334
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,2.001,-0.3379448705937327,-0.0293430163485854
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,2.334,-1.1818227296189283,-0.1962313458735841
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,2.001,-0.3175629033761895,-0.1033188552007787
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,0.999,-0.5759625105087941,-0.046674658399997
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,2.334,-0.2587066601761226,-0.0615820416431783
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,0.333,-0.4096543435117799,-0.190001884526358
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,0.333,-0.4605402976153291,-0.0783181634217766
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,1.668,-0.9839375497252802,-0.4449018473406164
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.333,-0.5842363036692626,-0.6283657220620589
1.0,1.0471975511965976,0.5,0.02,0.01,0.3,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,1.332,-0.3263101860368154,-0.1270073626231617
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,2.667,-0.277261508478725,-0.0769556922412396
1.0,0.5235987755982988,1.0,0.02,0.01,0.1,204.0,2.334,-1.2117091122589216,-1.0320661620083211
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,0.0,-0.52987,5.64949
0.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.333,-0.6091013882717312,-0.6818898582443035
1.0,1.0471975511965976,1.0,0.02,0.01,0.1,204.0,1.668,-0.867195506156597,-0.084268792136813
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,0.333,-0.537672885275914,-1.0842400105693708
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,3.0,-0.2573046634782066,-0.068537014727778
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,200.0,0.999,-0.4287136063982557,-0.2695730920021279
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,0.666,-0.4813210297608019,-0.461618462300373
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,2.334,-0.8117557081341124,-0.7336621821216106
1.0,1.0471975511965976,1.0,0.02,0.02,1.0,204.0,1.668,-0.3432714565007736,-0.1286537153780398
1.0,1.0471975511965976,1.0,0.01,0.01,0.3,204.0,1.332,-0.9423991481067991,-0.3822897918753141
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,2.334,-0.8117557081341124,-0.7336621821216106
1.0,1.0471975511965976,1.0,0.02,0.03,1.0,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,250.0,3.0,-0.2406032295378739,-0.0520135696900092
1.5,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,0.3,204.0,1.332,-0.9423991481067991,-0.3822897918753141
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,1.668,-0.3432714565007736,-0.1286537153780398
1.0,1.0471975511965976,1.0,0.02,0.01,0.5,204.0,1.332,-0.7505410199357972,-0.3831862340223719
1.0,1.0471975511965976,1.0,0.03,0.01,0.3,204.0,0.0,-0.52987,5.64949
1.0,1.0471975511965976,1.0,0.02,0.01,1.0,204.0,0.333,-0.5357238812396813,-1.075420946783137
